"variable","OR_Firth","IC_lo_Firth","IC_hi_Firth","p_Firth","OR_GLM","IC_lo_GLM","IC_hi_GLM","p_GLM","OR_Bayes","IC_lo_Bayes","IC_hi_Bayes","P_OR_gt1"
"drogas",6.40847132382163,3.76879300153382,10.7973881548377,3.36309868842477e-11,6.4682320405597,3.79449201427786,10.9242466408733,4.22370767360646e-12,6.43810581105798,3.77778300863862,10.7420307085103,1
"alcohol",3.21944806576615,2.20796575142208,4.61126911461217,8.0138160551968e-09,3.20093358847916,2.19204035598779,4.59079767488542,6.59168524363099e-10,3.17842916833778,2.19110891925792,4.53863587068389,1
"tabaco_act",1.18599081533435,0.706402243987104,1.9430651928666,0.511676740150617,1.17878620133749,0.700603692584163,1.9348477206255,0.525115819755296,1.18274925326963,0.709941065115742,1.9410943012521,0.7388125
"tabaco_pas",3.58962765027702,2.6357990739505,4.82608177928594,4.17443857259059e-14,3.57815371573702,2.62508403041819,4.81450349638286,1.61080407183284e-16,3.55962146316537,2.62254308987653,4.79313891401594,1
"gestas_z",1.5288535407092,1.36170284876499,1.71058134879143,1.20266019365545e-11,1.52802140088663,1.35988057149028,1.71117100398197,3.94554183315055e-13,1.52692558230866,1.35552556762659,1.70975127596916,1
"cpn_z",0.828926840246591,0.736227108345856,0.931593684355011,0.00154901838181487,0.828252186030277,0.735521812533841,0.930959667080566,0.00172090117385887,0.828254696391492,0.73689082282978,0.92870324690102,0.0003125
"pareja",0.680063472878521,0.528815803513632,0.879629690794814,0.00353040674665794,0.682366039130697,0.530206390465374,0.883324567767853,0.0033013558988276,0.685425460960072,0.532179064584685,0.88688808609924,0.002
"escol_baja",1.39442659187108,1.06938861992021,1.80586795582094,0.0144366182329699,1.39146678667152,1.0662800892672,1.80332912464016,0.0136219227072571,1.38858792006151,1.06118965772799,1.8023028294823,0.9900625
"etnia_min",1.21978165686013,0.786115763584377,1.8154947485035,0.36184737805205,1.1997104501894,0.770059019680937,1.79145261018642,0.396232575946126,1.18545729525565,0.761807052955524,1.76328567071277,0.7845625
"edad_z",0.722512278109144,0.61588710083375,0.844294209533823,3.46733372019736e-05,0.721610467771915,0.614807021064628,0.843607836588339,5.23451727095564e-05,0.721111535961906,0.614387119407238,0.840879944722372,0
