"variable","mean","sd","rhat","ess_bulk","ess_tail"
"b_Intercept",-4.66609962657638,0.118949732722469,1.00062022072545,23636.8483991238,12030.492313502
"b_drogas",1.85906165009365,0.266788072890912,1.00047270179141,18677.2792479562,11422.2580576549
"b_alcohol",1.15509757957378,0.186756506643313,0.999955990039246,21114.3418722674,12503.724004571
"b_tabaco_act",0.166013573629858,0.25900374512704,1.00010968613885,18286.7761654236,13656.6624536135
"b_tabaco_pas",1.26756646187931,0.153352347062088,1.00042052597364,20178.9041767367,12301.7119772313
"b_gestas_z",0.422804120548117,0.0588018945877127,1.000016336924,14995.9415860138,13104.7904215217
"b_cpn_z",-0.18913807701213,0.0587730437125768,1.00018149634118,21942.8774976318,12879.1883440921
"b_pareja",-0.378130150987344,0.129703279514139,1.00025778272771,23035.8458381989,11714.8906670718
"b_escol_baja",0.327125560346062,0.135601894003397,1.00033602918902,21674.4987589521,12494.446963874
"b_etnia_min",0.163667319094504,0.212893978965917,1.00013218963912,22855.1036203294,11300.4760395055
"b_edad_z",-0.326996912934244,0.0809563796289884,0.999993147632843,15390.7466374125,13123.4786271995
"Intercept",-4.75727432600052,0.0696489485411992,1.00014310931281,18230.4294549728,12564.1985176333
"lprior",-22.4378203424765,0.092596912308028,0.999912956588696,15944.4697078973,12866.208734926
"lp__",-1559.48833602108,2.32918038562286,0.999901951495666,7433.53629129366,10424.05200925
