"outcome","trimestre","n","n_expuestos","OR_GLM","IC_lo_GLM","IC_hi_GLM","p_GLM","OR_Firth","IC_lo_Firth","IC_hi_Firth","p_Firth","OR_Bayes","IC_lo_Bayes","IC_hi_Bayes","P_OR_gt1","Rhat_max","ESS_min"
"Preterm birth","T1",25695,222,0.894,0.671,1.191,0.443,0.896,0.671,1.189,0.4509,0.893,0.667,1.189,0.2184,1.0013,6585
"Preterm birth","T2",25695,166,1.203,0.872,1.659,0.2595,1.204,0.872,1.656,0.257,1.202,0.871,1.653,0.8687,1.0011,6526
"Preterm birth","T3",25695,150,1.397,1.001,1.949,0.0492,1.397,1.001,1.946,0.0494,1.397,1.006,1.939,0.9764,1.0011,6180
"SGA/IUGR","T1",25971,222,1.079,0.804,1.448,0.611,1.083,0.804,1.446,0.5949,1.078,0.797,1.446,0.6853,1.0008,7049
"SGA/IUGR","T2",25971,166,1.235,0.886,1.722,0.2126,1.24,0.885,1.718,0.2078,1.233,0.875,1.709,0.8858,1.001,7178
"SGA/IUGR","T3",25971,150,1.026,0.717,1.467,0.8895,1.032,0.717,1.463,0.8641,1.02,0.714,1.442,0.5418,1.0005,7215
"Apgar <7 1min","T1",25561,217,1.15,0.815,1.623,0.4252,1.16,0.814,1.618,0.4033,1.142,0.795,1.603,0.7702,1.0009,6445
"Apgar <7 1min","T2",25561,159,0.888,0.577,1.367,0.5897,0.901,0.576,1.359,0.63,0.882,0.559,1.334,0.2806,1.0009,7194
"Apgar <7 1min","T3",25561,144,1.103,0.722,1.683,0.6509,1.116,0.721,1.674,0.6107,1.09,0.703,1.629,0.6576,1.001,7478
"Excl. breastf.","T1",25974,222,1.038,0.735,1.465,0.8323,1.029,0.738,1.467,0.8677,1.043,0.747,1.484,0.5994,1.0009,6423
"Excl. breastf.","T2",25974,166,1.226,0.812,1.852,0.332,1.211,0.816,1.856,0.3507,1.233,0.828,1.906,0.8451,1.001,7097
"Excl. breastf.","T3",25974,150,1.3,0.839,2.015,0.2401,1.281,0.844,2.018,0.2524,1.31,0.86,2.082,0.8925,1.0009,7128
