"outcome","trimestre","n","n_expuestos","OR_GLM","IC_lo_GLM","IC_hi_GLM","p_GLM","OR_Firth","IC_lo_Firth","IC_hi_Firth","p_Firth","OR_Bayes","IC_lo_Bayes","IC_hi_Bayes","P_OR_gt1","Rhat_max","ESS_min"
"Preterm birth","T1",25733,225,0.884,0.669,1.168,0.3857,0.886,0.668,1.167,0.3926,0.881,0.664,1.16,0.1868,1.0003,7694
"Preterm birth","T2",25733,168,1.148,0.839,1.57,0.3876,1.15,0.839,1.568,0.3819,1.147,0.835,1.559,0.8003,1.0007,7117
"Preterm birth","T3",25733,152,1.326,0.958,1.836,0.0889,1.327,0.958,1.835,0.0885,1.325,0.956,1.822,0.9559,1.0004,7516
"SGA/IUGR","T1",26009,225,1.176,0.885,1.564,0.2645,1.18,0.884,1.562,0.2572,1.173,0.881,1.551,0.8612,1.0007,7208
"SGA/IUGR","T2",26009,168,1.321,0.956,1.825,0.0918,1.326,0.955,1.821,0.091,1.314,0.953,1.805,0.9526,1.0004,6730
"SGA/IUGR","T3",26009,152,1.102,0.777,1.563,0.5867,1.108,0.776,1.56,0.5648,1.096,0.769,1.554,0.6974,1.0005,6993
"Apgar <7 1min","T1",25599,220,1.107,0.79,1.551,0.5553,1.116,0.789,1.546,0.5249,1.1,0.771,1.531,0.7027,1.0005,7697
"Apgar <7 1min","T2",25599,161,0.859,0.562,1.312,0.4823,0.872,0.561,1.305,0.5176,0.849,0.547,1.276,0.2218,1.0003,7787
"Apgar <7 1min","T3",25599,146,1.061,0.699,1.608,0.782,1.075,0.698,1.6,0.7346,1.047,0.68,1.556,0.5852,1.0007,7372
"Excl. breastf.","T1",26012,225,0.924,0.663,1.289,0.6422,0.916,0.665,1.291,0.6085,0.927,0.675,1.313,0.3293,1.0006,7796
"Excl. breastf.","T2",26012,168,1.059,0.712,1.577,0.7771,1.046,0.715,1.58,0.8237,1.065,0.728,1.618,0.6252,1.0006,7344
"Excl. breastf.","T3",26012,152,1.13,0.739,1.729,0.5722,1.114,0.743,1.733,0.613,1.141,0.756,1.784,0.7293,1.0009,7660
