"outcome","trimestre","OR_ModeloA","IC_lo_A","IC_hi_A","OR_ModeloB","IC_lo_B","IC_hi_B","pct_cambio"
"Preterm birth","T1",0.881,0.664,1.16,0.893,0.667,1.189,-1.4
"Preterm birth","T2",1.147,0.835,1.559,1.202,0.871,1.653,-4.8
"Preterm birth","T3",1.325,0.956,1.822,1.397,1.006,1.939,-5.4
"SGA/IUGR","T1",1.173,0.881,1.551,1.078,0.797,1.446,8.1
"SGA/IUGR","T2",1.314,0.953,1.805,1.233,0.875,1.709,6.2
"SGA/IUGR","T3",1.096,0.769,1.554,1.02,0.714,1.442,6.9
"Apgar <7 1min","T1",1.1,0.771,1.531,1.142,0.795,1.603,-3.8
"Apgar <7 1min","T2",0.849,0.547,1.276,0.882,0.559,1.334,-3.9
"Apgar <7 1min","T3",1.047,0.68,1.556,1.09,0.703,1.629,-4.1
"Excl. breastf.","T1",0.927,0.675,1.313,1.043,0.747,1.484,-12.5
"Excl. breastf.","T2",1.065,0.728,1.618,1.233,0.828,1.906,-15.8
"Excl. breastf.","T3",1.141,0.756,1.784,1.31,0.86,2.082,-14.8
