"outcome","trimestre","OR_Bayes_sinIPW","OR_GLM_IPW","IC_lo_IPW","IC_hi_IPW","p_GLM_IPW"
"Preterm birth","T1",0.893,0.888,0.675,1.169,0.3982
"Preterm birth","T2",1.202,1.194,0.879,1.624,0.2569
"Preterm birth","T3",1.397,1.38,1.003,1.899,0.048
"SGA/IUGR","T1",1.078,1.079,0.814,1.429,0.5967
"SGA/IUGR","T2",1.233,1.218,0.886,1.674,0.2246
"SGA/IUGR","T3",1.02,1.017,0.721,1.433,0.9251
"Apgar <7 1min","T1",1.142,1.147,0.825,1.594,0.4152
"Apgar <7 1min","T2",0.882,0.895,0.593,1.35,0.5968
"Apgar <7 1min","T3",1.09,1.111,0.741,1.664,0.6113
"Excl. breastf.","T1",1.043,1.034,0.744,1.436,0.8433
"Excl. breastf.","T2",1.233,1.238,0.834,1.838,0.2887
"Excl. breastf.","T3",1.31,1.304,0.857,1.985,0.2149
