"anio","n_total","n_con_dato_viol","pct_faltante","n_viol_alguna","pct_viol_registrada"
2009,2326,2134,8.25,30,1.41
2010,2375,2216,6.69,30,1.35
2011,2567,2404,6.35,56,2.33
2012,2229,2173,2.51,41,1.89
2013,2315,2267,2.07,28,1.24
2014,2213,2155,2.62,25,1.16
2015,2229,2186,1.93,31,1.42
2016,2069,2031,1.84,23,1.13
2017,1817,1778,2.15,13,0.73
2018,1476,1419,3.86,15,1.06
2019,1259,1182,6.12,7,0.59
2020,1247,1144,8.26,11,0.96
2021,1553,659,57.57,1,0.15
2022,1293,487,62.34,6,1.23
2023,1559,1416,9.17,8,0.56
2024,930,868,6.67,7,0.81
